ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,time
GD30,67.25,2272036.64,0.20185810312143226,0.1933750141118873,0.26241998096570185,0.3040525464732752,2023-04-19 15:05:53.894612
GD30,67.25,62324.32,0.2681673634628029,0.24308749710896083,0.26234998462551895,0.3537679735043786,2023-04-19 15:06:03.900317
GD30,67.25,946709.46,0.2598631166836418,0.09386886278903994,0.25405241130377565,0.3454598373794443,2023-04-19 15:06:13.948071
GD30,67.26,63401636.1,0.2598631166836418,0.2348020832761355,0.3703036180225405,0.3454598373794443,2023-04-19 15:06:23.952270
GD30,67.25,20049.71,0.28465946222248184,-0.005474917876244767,0.3700717179316487,0.3453671774415984,2023-04-19 15:06:33.983722
GD30,67.25,1945882.09,0.35100827744157903,0.24305364685496822,0.35362560006463317,0.37856127567988007,2023-04-19 15:06:43.999241
GD30,67.25,412670.62,0.22647454659488753,0.16006801126208892,0.25391705746269755,0.2540072769725821,2023-04-19 15:06:54.074767
GD30,67.25,30000.0,0.22647454659488753,0.16006801126208892,0.25391705746269755,0.2540072769725821,2023-04-19 15:07:04.078766
GD30,67.25,171900.0,0.16841614009937056,0.16005299603047307,0.22902214138396548,0.25390578462924973,2023-04-19 15:07:14.086939
GD30,67.24,268556.97,0.2180688702200051,0.15163409782653126,0.32827388159124504,0.23731217959016837,2023-04-19 15:07:24.088399
GD30,67.25,323999.94,0.13526848939120817,-0.005474917876244767,0.1710129280057543,0.16278597567794817,2023-04-19 15:07:34.091812
GD30,67.25,429500421.65,0.16010556126190179,0.15997796071133108,0.253781850945482,0.23730166209719739,2023-04-19 15:07:44.099890
GD30,67.25,6699.92,0.3341653693850749,0.30071006503032127,0.3365507738852097,0.4196954068701042,2023-04-19 15:07:54.108057
