ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
AL30D,67.22,41555.92,16410.968,9759.308,9760.13506,16409.57724,2023-04-19 15:14:19.692432
AL30D,67.22,1460000.0,6152.992000000001,9409.084,9409.88138,6152.47056,2023-04-19 15:14:30.705506
AL30D,67.22,20000.24,4972.048000000001,9276.216,9277.002120000001,4971.6266399999995,2023-04-19 15:14:40.776080
AL30D,67.25,474998190.66,27.14,9276.216,9277.002120000001,17571.7192,2023-04-19 15:14:50.784530
AL30D,67.25,200000000.0,11137.779239999998,433.76800000000003,433.80476000000004,11136.834679999998,2023-04-19 15:15:00.856439
AL30D,67.25,162510.0,470.61301999999995,452.27781000000004,452.31615,470.87263,2023-04-19 15:15:10.860205
AL30D,67.25,182555.31,2072.4,452.27781000000004,452.31615,1923.74628,2023-04-19 15:15:20.879583
AL30D,67.25,26363.0,6470.20544,451.09816,3538.5,6472.4032,2023-04-19 15:15:30.931326
AL30D,67.25,187303884.77,6921.638899999999,3538.5,3538.5,2620.92564,2023-04-19 15:15:40.937010
AL30D,67.25,50000000.0,2072.4,7077.0,3538.5,4971.16,2023-04-19 15:15:50.957622
AL30D,67.22,281264.56,2072.4,7412.449799999999,3538.5,1547.25087,2023-04-19 15:16:00.968782
AL30D,67.22,42000.0,4777.5558599999995,7412.449799999999,3538.5,4303.469599999999,2023-04-19 15:16:10.985562
AL30D,67.22,42000.0,494.592,793.06326,562.21318,494.76,2023-04-19 15:16:21.000092
AL30D,67.22,356590.0,3014.4,673.8159999999999,673.8732000000001,55349.55,2023-04-19 15:16:31.079497
AL30D,67.22,1916.97,562.18932,1159.48602,674.9313999999999,562.1415999999999,2023-04-19 15:16:41.085906
AL30D,67.24,149377827.35,1071.12852,3538.5,3538.5,562.18932,2023-04-19 15:16:51.131347
AL30D,67.22,3077.06,1308.92465,1028.2881,1028.2881,1308.92465,2023-04-19 15:17:01.132804
AL30D,67.22,7505.5,2179.05555,1145.95362,1028.2881,1972.1548500000001,2023-04-19 15:17:11.147877
AL30D,67.24,81922.0,1892.03385,1145.95362,1028.2881,1892.03385,2023-04-19 15:17:21.431971
AL30D,67.24,791518.0,2877.17294,1145.95362,1028.2881,1892.03385,2023-04-19 15:17:31.522471
AL30D,67.22,64349.0,447.28267999999997,1132.74378,1028.2881,447.24472000000003,2023-04-19 15:17:41.578637
AL30D,67.22,130807.05,1188.48381,1035.08532,1028.2881,1188.3829500000002,2023-04-19 15:17:51.630402
AL30D,67.22,60500.0,15008.20713,947.6801999999999,947.15773,53797.17177,2023-04-19 15:18:01.633875
AL30D,67.22,3088.01,5505.7475,1189.54284,2217.9318,5505.7475,2023-04-19 15:18:11.662815
AL30D,67.24,4448785.65,5346.0855,1226.16918,1226.2733,557.8995,2023-04-19 15:18:21.872106
AL30D,67.22,1095396.78,1916.9958500000002,2802.0627499999996,2800.2761000000005,1916.83275,2023-04-19 15:18:31.879065
AL30D,67.22,79912.68,1013.1517000000001,872.87418,2827.82004,1013.0655,2023-04-19 15:18:41.896495
AL30D,67.22,138126.01,86.9759,1000.705,999.685,86.9685,2023-04-19 15:18:51.899968
AL30D,67.22,420028.14,4141.816049999999,1307.2025999999998,2297.1621,14074.0572,2023-04-19 15:19:01.903552
AL30D,67.22,1652940.0,2844.8101500000002,4206.33191,1605.9681,2866.8599,2023-04-19 15:19:11.904536
AL30D,67.22,29378.42,8178.235,1182.1330799999998,1181.63028,8177.53898,2023-04-19 15:19:21.907474
AL30D,67.22,233235.0,15005.521439999999,2439.03114,2437.89,54385.145639999995,2023-04-19 15:19:31.909519
AL30D,67.24,67038.68,39999.808800000006,30.090239999999998,2357.52,53698.73984999999,2023-04-19 15:19:41.923652
AL30D,67.24,80000.0,15005.521439999999,30.090239999999998,854.225,53698.73984999999,2023-04-19 15:19:51.931720
AL30D,67.24,346600.0,15005.521439999999,4975.20926,4894.1574,53698.73984999999,2023-04-19 15:20:01.962619
AL30D,67.24,400.0,15007.58102,70527.0,1880.0,52959.65906,2023-04-19 15:20:12.131598
AL30D,67.24,988436.83,303.08807,74154.71206,4679.30342,303.08807,2023-04-19 15:20:22.204264
AL30D,67.24,1402489.0,3517.65,74154.71206,4679.30342,1081.16638,2023-04-19 15:20:32.238826
AL30D,67.24,1650683.89,39.64233,86201.00312000001,49999.775,302.81696,2023-04-19 15:20:42.442903
AL30D,67.24,9817660.82,869.9830400000001,85728.72865,49999.76835,869.90886,2023-04-19 15:20:52.557124
AL30D,67.24,60067.96,1172.8,71030.1838,41619.98967,914.00238,2023-04-19 15:21:02.598361
AL30D,67.24,278264.46,1172.8,24.15659,302.8686,258.62041,2023-04-19 15:21:12.661328
AL30D,67.24,815420.02,2065.7104999999997,14617.872110000002,14619.11889,2065.53432,2023-04-19 15:21:22.816251
AL30D,67.24,118000.0,8197.000000000002,7.502079999999999,7.4976,8196.3,2023-04-19 15:21:32.816667
AL30D,67.24,184817.0,8189.5056,11720.0,302.6104,8188.80624,2023-04-19 15:21:43.086599
AL30D,67.24,3121.1,8189.5056,14633.592000000002,44.07096000000001,7494.08,2023-04-19 15:21:53.237319
AL30D,67.22,542306.5,5508.618200000001,14633.592000000002,44.07096000000001,5508.147779999999,2023-04-19 15:22:03.240119
AL30D,67.24,180000.0,5508.618200000001,14588.27996,3734.2264,5508.147779999999,2023-04-19 15:22:13.272018
AL30D,67.22,22042292.0,1404.9360000000001,4522.48416,5023.024649999999,2718.49582,2023-04-19 15:22:23.274278
AL30D,67.21,500000.0,12089.40006,4162.51374,492.8039999999999,226.7084,2023-04-19 15:22:33.293653
AL30D,67.21,185446.84,935.96,4161.57766,492.8039999999999,935.92,2023-04-19 15:22:43.417013
AL30D,67.22,5939275.85,933.15212,4011.80486,1194.8039999999999,933.0723599999999,2023-04-19 15:22:53.749534
AL30D,67.21,25310808.66,1167.95,228.5203,2630.5186,1167.85,2023-04-19 15:23:03.753763
AL30D,67.21,554211.76,283.11108,4009.2334100000003,6655.5423,283.08684,2023-04-19 15:23:13.760614
AL30D,67.21,267240.85,1099.2745400000001,228.5203,5487.0423,1099.18042,2023-04-19 15:23:23.780250
AL30D,67.21,3645918.04,1099.2745400000001,228.5203,5487.0423,1099.18042,2023-04-19 15:23:33.793086
AL30D,67.21,471364.88,1200.4235,6664.085999999999,3801.5979,1200.32068,2023-04-19 15:23:43.810521
AL30D,67.21,115111.0,1200.4235,6664.085999999999,3801.5979,1200.32068,2023-04-19 15:23:53.850068
AL30D,67.21,780353.0,1457.39832,29.97504,29.977600000000002,1499.89896,2023-04-19 15:24:03.857565
AL30D,67.21,500000.0,12.391399999999999,826.45651,0.23413,42.138000000000005,2023-04-19 15:24:13.864146
AL30D,67.21,10000.0,4565.02224,24.15659,5078.8009999999995,1449.50631,2023-04-19 15:24:23.873645
AL30D,67.21,3148.94,1667.148,3916.8534999999997,4860.4815,44.0672,2023-04-19 15:24:33.879498
AL30D,67.21,17255000.0,189.07199999999997,3894.3414999999995,22.50912,189.05584,2023-04-19 15:24:43.942036
AL30D,67.21,61831.0,1200.4235,22.5024,22.463999999999995,1200.32068,2023-04-19 15:24:53.952165
AL30D,67.22,587829.46,1200.4235,2909.3728,2909.62104,1200.32068,2023-04-19 15:25:03.956631
AL30D,67.21,35815.29,706.3375,1902.42,1902.5826000000002,544.73217,2023-04-19 15:25:13.997901
AL30D,67.21,3160.13,3498.0,4318.5423,4486.2554,167.17167999999998,2023-04-19 15:25:24.003824
AL30D,67.21,208045.0,169.6091,4151.2131,4235.2401199999995,169.8272,2023-04-19 15:25:34.158927
AL30D,67.21,16191.95,747.8724000000001,2710.001,2710.23312,747.80826,2023-04-19 15:25:44.177233
AL30D,67.21,89489.47,747.8724000000001,414.7518,164.79451999999998,747.80826,2023-04-19 15:25:54.246152
AL30D,67.21,5362.0,747.8724000000001,158.94539999999998,48.08451999999999,4991.43195,2023-04-19 15:26:04.254554
AL30D,67.21,125228.85,3030.0669,416.8524,850.4070000000002,3029.80692,2023-04-19 15:26:14.272185
AL30D,67.21,3171.36,2111.1866999999997,1756.5156999999997,1756.66628,725.26743,2023-04-19 15:26:24.664088
AL30D,67.21,182596.57,2111.1866999999997,20750.635199999997,1684.3370800000002,34983.0,2023-04-19 15:26:34.758261
AL30D,67.23,20941000.0,2111.1866999999997,14157.3439,1684.3370800000002,725.3764,2023-04-19 15:26:44.789533
AL30D,67.21,5362.0,15281.016000000001,45.4818,45.485699999999994,27613.01478,2023-04-19 15:26:54.792499
AL30D,67.23,1497340.33,2332.0,3877.4023599999996,59.77344,5552.757,2023-04-19 15:27:04.835998
AL30D,67.21,65900.0,2504.7487199999996,914.9720300000001,360.97554,2505.39336,2023-04-19 15:27:14.870117
AL30D,67.21,1082.49,932.48,481.99165,481.41345,932.16,2023-04-19 15:27:24.943931
