SPREAD_COLOCAR_PLAZO_CERCANO,SPREAD_COLOCAR_PLAZO_LEJANO,SPREAD_TOMAR_PLAZO_CERCANO,SPREAD_TOMAR_PLAZO_LEJANO
-0.9097630530356057,-0.6625289149069544,-0.6515779881164432,-0.7442922654953072
-0.7552376295960452,-0.6625289149069544,-0.6515779881164432,-0.7288387959710104
-0.7551376295960452,-0.6624289149069544,-0.6514779881164432,-0.7287387959710104
-0.6624145209699271,-0.6624223755323009,-0.6514714483494448,-0.6514635933157868
-0.7551376295960452,-0.6624289149069544,-0.6514779881164432,-0.7364655307331386
-0.7551376295960452,-0.6624282612186131,-0.6514773343888756,-0.7287387959710104
-0.7551376295960452,-0.6624282612186131,-0.6514773343888756,-0.7364655307331386
-0.747411358424053,-0.6624282612186131,-0.6514773343888756,-0.7287387959710104
-0.6778749178762447,-0.747411358424053,-0.7287414130960934,-0.6669249178737418
-0.8018416496973411,-0.8324657904574726,-0.8138012797086804,-0.7831507022938419
-0.9097710486934671,-0.6778749178762447,-0.6669249178737418,-0.8911046280428312
-0.9103224087463746,-0.8402641139239001,-0.8215971286302285,-0.8916376414071301
-0.9102928051433476,-0.8402641139239001,-0.8215971286302285,-0.8916090228738086
-0.6624941930103021,-0.7475437571214074,-0.7288702161055611,-0.6515432641364558
-0.6624941930103021,-0.7475437571214074,-0.7288702161055611,-0.6515432641364558
-0.6624941930103021,-0.6779749178762446,-0.6670249178737417,-0.6515432641364558
-0.6625553562568839,-0.8327378485784872,-0.8140697448319575,-0.6516044250527545
-0.6625553562568839,-0.7012930508383232,-0.6903444439655867,-0.6516044250527545
-0.9105618919500529,-0.6625895954255165,-0.6516386662757887,-0.8918758107941074
-0.9107001888541049,-0.6625764444085378,-0.6516255144697433,-0.8920095058228241
-0.9105804220808308,-0.7399424985492744,-0.7212521060215792,-0.8918903967954934
-0.7710171195580791,-0.7476352251855563,-0.7289515328229461,-0.7523187202233821
-0.7710171195580791,-0.6624698605200249,-0.6515189301861704,-0.7523187202233821
-0.7711052620132601,-0.6625895954255165,-0.6516386662757887,-0.7524078501551001
-0.8252917372058226,-0.6857142955302641,-0.6747647599043498,-0.8065965944458935
-0.9104520198916901,-0.6857142955302641,-0.6747647599043498,-0.7212728297877565
-0.7477476759790113,-0.6779749178762446,-0.6670249178737417,-0.7290488686238038
-0.8097847035921701,-0.6624698605200249,-0.6515189301861704,-0.7910886303822986
-0.7633216197980629,-0.6624678842625517,-0.6515169538101265,-0.7446174841260804
-0.8096679054036882,-0.6623830227079773,-0.6514320931638782,-0.7909728193739066
-0.8330913862843254,-0.6702286415028094,-0.6592781767097736,-0.8143944047654033
-0.7555331520803054,-0.6857208654603582,-0.6747713302286531,-0.7368315169276844
-0.7555331520803054,-0.6779749178762446,-0.6670249178737417,-0.7213189393601326
-0.6778749178762447,-0.6856211942497004,-0.67467165903773,-0.6669249178737418
-0.6779749178762446,-0.7787021639199684,-0.7600134411832448,-0.6670249178737417
-0.6778749178762447,-0.6701283126855266,-0.6591778478727965,-0.6669249178737418
-0.6778749178762447,-0.6701283126855266,-0.6591778478727965,-0.6669249178737418
-0.6778749178762447,-0.6623645893804285,-0.6514136587302908,-0.6669249178737418
-0.6779749178762446,-0.6624645893804285,-0.6515136587302908,-0.6670249178737417
-0.6778749178762447,-0.6623645893804285,-0.6514136587302908,-0.6669249178737418
-0.6778749178762447,-0.7941184049131386,-0.7754299565670478,-0.6669249178737418
-0.6778749178762447,-0.6623797342564306,-0.6514288045150244,-0.6669249178737418
-0.6779749178762446,-0.662479076398623,-0.6515281466177066,-0.6670249178737417
-0.6779749178762446,-0.6624764444085377,-0.6515255144697432,-0.6670249178737417
-0.6779749178762446,-0.6624764444085377,-0.6515255144697432,-0.6670249178737417
-0.6779749178762446,-0.6624764444085377,-0.6515255144697432,-0.6670249178737417
-0.6780749178762447,-0.6625764444085378,-0.6516255144697433,-0.6671249178737418
-0.7788006223415297,-0.6624764444085377,-0.6515255144697432,-0.7601003832790123
-0.6779749178762446,-0.662482365129374,-0.6515314355458055,-0.6670249178737417
-0.6779749178762446,-0.662482365129374,-0.6515314355458055,-0.6670249178737417
-0.6780749178762447,-0.6625632710354693,-0.6516123403062304,-0.6671249178737418
-0.6780749178762447,-0.6625817074948895,-0.6516307778718514,-0.6671249178737418
-0.6780749178762447,-0.8872421368437352,-0.8685658395979481,-0.6671249178737418
-0.6781749178762446,-0.8486436488462847,-0.8299617433471537,-0.6672249178737417
-0.6780749178762447,-0.6625823651293741,-0.6516314355458056,-0.6671249178737418
-0.6779749178762446,-0.662482365129374,-0.6515314355458055,-0.6670249178737417
-0.6779749178762446,-0.6624817074948894,-0.6515307778718513,-0.6670249178737417
-0.6779749178762446,-0.6624817074948894,-0.6515307778718513,-0.6670249178737417
-0.6779749178762446,-0.6624830227079773,-0.6515320931638782,-0.6670249178737417
-0.7245454839911205,-0.6779749178762446,-0.6670249178737417,-0.7135982783063998
-0.6625738115242283,-0.6625764444085378,-0.6516255144697433,-0.6516228814274341
-0.7477040376304724,-0.6856248127752335,-0.674675277780386,-0.7289989708756167
-0.6777749178762447,-0.7629875749737605,-0.7288093713085498,-0.6668249178737418
-0.6622738115242283,-0.6622830227079773,-0.6513320931638782,-0.651322881427434
-0.6622751280781863,-0.6700352119904412,-0.659084747591655,-0.6513241980603717
-0.6776749178762447,-0.6621955061045566,-0.6512445773094873,-0.6667249178737418
-0.6621961625681655,-0.6776749178762447,-0.6667249178737418,-0.6512452338124847
-0.6699358684261704,-0.6776749178762447,-0.6667249178737418,-0.6589854040667726
-0.6621968189760958,-0.6776749178762447,-0.6667249178737418,-0.6512458902598034
-0.6622079693990646,-0.6622092801574437,-0.6512583521888439,-0.6512570413518093
-0.6622079693990646,-0.6622092801574437,-0.6512583521888439,-0.6512570413518093
-0.6622079693990646,-0.6622092801574437,-0.6512583521888439,-0.6512570413518093
-0.6622079693990646,-0.6622092801574437,-0.6512583521888439,-0.6512570413518093
-0.6160913895336841,-0.6625092801574437,-0.6515583521888438,-0.5896593074107701
-0.6624968189760958,-0.6625092801574437,-0.6515583521888438,-0.6515458902598034
-0.7785910943921175,-0.6625046915309871,-0.6515537632870325,-0.7599069612591876
-0.739947759401707,-0.6625046915309871,-0.6515537632870325,-0.7212544078803175
-0.7399424985492744,-0.7011802573941719,-0.6902316497538257,-0.7212498043582232
-0.7554311061034668,-0.6779749178762446,-0.6670249178737417,-0.7367396700378811
-0.7554343937175216,-0.6779749178762446,-0.6670249178737417,-0.7212498043582232
-0.7628767249261587,-0.6776749178762447,-0.6667249178737418,-0.7441857536116766
-0.7473884461334284,-0.6776749178762447,-0.6667249178737418,-0.7286962167131549
-0.7396424985492744,-0.6621836802308207,-0.6512327507261912,-0.7209498043582232
-0.7009196669632516,-0.6621830227079774,-0.6512320931638782,-0.689971061687532
-0.6621830227079774,-0.4608067953781797,-0.380131989512878,-0.6512320931638782
-0.6778749178762447,-0.6778749178762447,-0.6669249178737418,-0.6669249178737418
-0.6776749178762447,-0.6776749178762447,-0.6667249178737418,-0.6667249178737418
-0.6776749178762447,-0.6699384930561187,-0.6589880288541939,-0.6667249178737418
-0.6778749178762447,-0.6701384930561187,-0.6591880288541939,-0.6669249178737418
-0.6701306138201772,-0.6701384930561187,-0.6591880288541939,-0.6591801491454689
-0.6621856524644271,-0.6699384930561187,-0.6589880288541939,-0.6512347230781252
-0.6621863097640285,-0.6699384930561187,-0.6589880288541939,-0.6512353804171961
-0.6776749178762447,-0.7782868273786792,-0.7596069612591876,-0.6667249178737418
-0.6776749178762447,-0.6622014122732495,-0.651250483832555,-0.6667249178737418
-0.6778749178762447,-0.662378418484934,-0.6514274886645481,-0.6669249178737418
-0.6621467727937208,-0.7940369955056172,-0.7753406571676493,-0.6511958410745422
-0.6621467727937208,-0.902374159050699,-0.8836981389292559,-0.6511958410745422
-0.6621467727937208,-0.8636881941002821,-0.8450059086101727,-0.6511958410745422
-0.5844584576120937,-0.8482885313305488,-0.7210489526389998,-0.5657300610685684
-0.6077714991777927,-0.6310865185019826,-0.6123685239846706,-0.5890464862576106
-0.6621421469951444,-0.755295829399396,-0.7365909015291752,-0.6511912149984634
-0.6776749178762447,-0.7630579205517193,-0.7443537886020102,-0.6667249178737418
-0.8875584013102994,-0.7399795716390875,-0.7212720623658031,-0.8688544617749766
-0.6778749178762447,-0.7399795716390875,-0.7212720623658031,-0.6669249178737418
-0.6778749178762447,-0.7709883283522234,-0.7522876283892327,-0.6669249178737418
-0.6778749178762447,-0.7477396814025328,-0.7290332980276054,-0.6669249178737418
-0.6778749178762447,-0.6778749178762447,-0.6669249178737418,-0.6669249178737418
-0.848917373114447,-0.6778749178762447,-0.6669249178737418,-0.8302025124174431
-0.6700946260497513,-0.6623421469951444,-0.6513912149984634,-0.6591441592157269
-0.6623130073209458,-0.6623136708003667,-0.6513627370950273,-0.6513620735758128
-0.6623130073209458,-0.6623136708003667,-0.6513627370950273,-0.6513620735758128
-0.6233966170713527,-0.6311871956022123,-0.6124526403154193,-0.5968712105449197
-0.662309025255796,-0.6623096890748413,-0.6513587551305776,-0.6513580912717385
-0.6622890843223515,-0.7868547571165269,-0.7681308717221516,-0.6513381491418078
-0.6622890843223515,-0.6778749178762447,-0.6669249178737418,-0.6513381491418078
-0.670082333859746,-0.6623037126644308,-0.6513527783616184,-0.6591318662881599
-0.6620890843223515,-0.6621037126644308,-0.6511527783616184,-0.6511381491418078
-0.6622890843223515,-0.6623023839499241,-0.6513514495673621,-0.6513381491418078
-0.6698756732469076,-0.810154503084034,-0.7914243926704506,-0.6589252052756822
-0.7868904814202179,-0.6931714074995451,-0.6822223433144972,-0.7681383175001071
-0.6697753399173728,-0.6931714074995451,-0.6822223433144972,-0.6588248719261293
-0.6620750952423754,-0.6932714074995452,-0.6823223433144973,-0.6511241592224354
-0.6619483797863958,-0.8180153390595809,-0.7992767232692646,-0.6509974421634819
-0.6619483797863958,-0.810230107784999,-0.7914896917262095,-0.6509974421634819
-0.6619483797863958,-0.8336198303021716,-0.8148828180216792,-0.6509974421634819
-0.6619483797863958,-0.8336198303021716,-0.8148828180216792,-0.6509974421634819
-0.6619423561936366,-0.9115422577251039,-0.8928165832176479,-0.650991418209297
-0.6619423561936366,-0.9115422577251039,-0.8928165832176479,-0.650991418209297
-0.6775749178762446,-0.6619890843223514,-0.6510381491418077,-0.6666249178737417
-0.9114423143933004,-0.7243304219751769,-0.7133832273870699,-0.8927102992228125
-0.82543198054141,-0.7009187790132609,-0.689970179684454,-0.8067084346311632
-0.872214983023575,-0.6775749178762446,-0.6666249178737417,-0.8534905920192822
-0.6619757619584604,-0.7009217654347185,-0.689973166285105,-0.6510248259785169
-0.6619423561936366,-0.9889990221119773,-0.9702945935511766,-0.650991418209297
-0.6620423561936367,-0.6621037126644308,-0.6511527783616184,-0.6510914182092971
-0.6697589717936453,-0.661977095219623,-0.651026159319672,-0.6588085028203234
-0.8964307814319877,-0.6619570723407703,-0.6510061352393892,-0.7291589165312975
-0.9119428867317175,-0.6619570723407703,-0.6510061352393892,-0.8931942148507016
-0.661922243969202,-0.6619436951711555,-0.6509927572671731,-0.6509713047780831
-0.661922243969202,-0.6619369979891815,-0.6509860596833311,-0.6509713047780831
-0.6697489165433551,-0.6619369979891815,-0.6509860596833311,-0.6587984469666841
-0.6619155283891953,-0.60720427838444,-0.5884306269216488,-0.6509645887951143
-0.7010589643415884,-0.6619302950659295,-0.6509793563578871,-0.6901103734241292
-0.77147485360156,-0.6619302950659295,-0.6509793563578871,-0.7527050236066609
-0.7873154491380564,-0.6621302950659296,-0.6511793563578872,-0.7215984698191759
-0.7558248643139905,-0.6619262705531548,-0.650975331603635,-0.7370540952915957
-0.3877651498893691,-0.6699586370349409,-0.6590081680415193,-0.36894638282003334
-0.7245309258737036,-0.7557009185963697,-0.7369455478822645,-0.7135837433162078
-0.62275999937915,-0.8964964166252195,-0.877749503444323,-0.6039728495310899
-0.6619168719661312,-0.6619497177321955,-0.6509987801895578,-0.6509659324526912
-0.6699455590413905,-0.6621497177321956,-0.6511987801895579,-0.6589950892632789
-0.6935316204399383,-0.662249048787986,-0.65129811120519,-0.6825825598677715
-0.8889151198205663,-0.6779749178762446,-0.6670249178737417,-0.8701647077678264
-0.7013589643415885,-0.6700656609511461,-0.6591151923791653,-0.6904103734241293
-0.7091856367717023,-0.6700656609511461,-0.6591151923791653,-0.698237515468691
-0.7639535498347214,-0.6700656609511461,-0.6591151923791653,-0.7451829149931366
-0.7483028894786181,-0.6700656609511461,-0.6591151923791653,-0.7295313155692779
-0.7483028894786181,-0.6622564040260879,-0.65130546688467,-0.7295313155692779
-0.7483028894786181,-0.6622570723407704,-0.6513061352393893,-0.7295313155692779
-0.8186463535513309,-0.6622570723407704,-0.6513061352393893,-0.7998836955208913
-0.7638982198947153,-0.6622570723407704,-0.6513061352393893,-0.7451326120296015
-0.8420871480041351,-0.6778749178762447,-0.6669249178737418,-0.8233269018330455
-0.8499288948124881,-0.6622564040260879,-0.65130546688467,-0.8311681137908136
-0.7482576195277189,-0.6622564040260879,-0.65130546688467,-0.7294910731984416
-0.8421082594971988,-0.6466365534321692,-0.6356846790716006,-0.8233470092233128
-0.7872998366246264,-0.6779749178762446,-0.6670249178737417,-0.76854700499689
-0.8340533732310698,-0.6778749178762447,-0.6669249178737418,-0.815303352899866
-0.8259444504633529,-0.661977095219623,-0.651026159319672,-0.80719396158271
-0.7166412631008268,-0.661977095219623,-0.651026159319672,-0.7056936071493505
-0.6619617242213903,-0.6619857619584605,-0.6510348259785169,-0.651010786799147
-0.7556975425742893,-0.6619804266336541,-0.6510294903335777,-0.7369404983102859
-0.7636988050441302,-0.6621704266336541,-0.6512194903335777,-0.7293187671506541
-0.7243904867211649,-0.6619204266336541,-0.6509694903335778,-0.7134432987371545
-0.7168378870784828,-0.6621737523430805,-0.6512228156425544,-0.7058902303244255
-0.7014087052856662,-0.6623637523430805,-0.6514128156425544,-0.6904601113525964
-0.7013087052856662,-0.6622637523430805,-0.6513128156425544,-0.6903601113525965
-0.7013087052856662,-0.6622637523430805,-0.6513128156425544,-0.6903601113525965
-0.7559641455536573,-0.6622704266336541,-0.6513194903335777,-0.7372094397282258
-0.716917861071251,-0.6622757619584605,-0.6513248259785169,-0.7059702037156276
-0.7404329371556883,-0.6623757619584605,-0.6514248259785169,-0.7216789638876516
-0.7169111799258843,-0.6622710937488112,-0.6513201574887715,-0.7059635221693655
-0.7170111799258843,-0.6623710937488112,-0.6514201574887715,-0.7060635221693655
-0.7170111799258843,-0.6623697594614406,-0.6514188231213272,-0.7060635221693655
-0.7715619467954202,-0.7949336254337382,-0.7761909395616262,-0.7528098473241629
-0.7949837040252039,-0.8183273486731577,-0.721574288005675,-0.7293866847467642
-0.693598111531079,-0.865260841162449,-0.7295000484110699,-0.682649048948316
-0.6622430257110866,-0.7247304594266951,-0.7137832708410377,-0.6512920877669052
-0.6621530257110866,-0.7168312025016167,-0.7058835453464816,-0.6512020877669051
-0.7561282196566799,-0.8028337230850398,-0.784085840848656,-0.737357115281187
-0.7169367511128115,-0.8105479667634341,-0.7293394686103954,-0.7059891002907746
-0.8342848107517365,-0.740285718452361,-0.7215287412137129,-0.8155187368669825
-0.7483005767178624,-0.662149677550516,-0.651198739405421,-0.7295192644587128
-0.7482763653328546,-0.6621490077462434,-0.6511980695609899,-0.7294977419362754
-0.7718057963317418,-0.662129558428516,-0.651178619076277,-0.7216837211356117
-0.779605897535817,-0.8498167780102337,-0.8310640380144964,-0.7608291539675421
-0.7796802417635565,-0.8578061083415307,-0.8390468180155872,-0.7608977835261652
-0.8267088527884323,-0.8891413360642375,-0.8703842637958062,-0.8079292163523871
-0.740551736477165,-0.6621026522509028,-0.6511517112842221,-0.7217591795063709
-0.7562334411273901,-0.6620980408826848,-0.6511471002393381,-0.7217491795063709
-0.6620751135849406,-0.6620980408826848,-0.6511471002393381,-0.6511241715659143
-0.6620751135849406,-0.6620832132260401,-0.6511322716930078,-0.6511241715659143
-0.7563652133338851,-0.7562334411273901,-0.7374448617981992,-0.7375604277888846
-0.7563652133338851,-0.7170126140882711,-0.706064968418164,-0.7375604277888846
-0.8034760845779433,-0.6620798393913856,-0.6511288976559403,-0.7846768325593668
-0.7563652133338851,-0.7483845531343745,-0.7295955025967783,-0.7375604277888846
-0.9053339851412249,-0.6621027528986189,-0.6511518125380023,-0.8865503038779725
-0.7563685979288111,-0.662081189099351,-0.651130247444871,-0.73756347410713
-0.0723528441440825,-0.6072480604255643,-0.5884559292191683,-0.053476864687223125
-0.6934990713384271,-0.6621034258125157,-0.6511524854922601,-0.6825500148134279
-0.6699118248915441,-0.6621027528986189,-0.6511518125380023,-0.6589613530893017
-0.669711824891544,-0.661876464105719,-0.6509255221677391,-0.6587613530893016
-0.6699118248915441,-0.6620764641057191,-0.6511255221677392,-0.6589613530893017
-0.6775749178762446,-0.661876464105719,-0.6509255221677391,-0.6666249178737417
-0.6620587319068435,-0.6620857888743443,-0.6511348468958412,-0.6511077883049022
-0.6777849178762446,-0.6620857888743443,-0.6511348468958412,-0.6668349178737417
-0.8823358291359071,-0.6620994094676504,-0.6511484659063134,-0.8635318239145885
-0.764443228944812,-0.8665804953567888,-0.8477826688388562,-0.7456199276220983
-0.7485832594314512,-0.6620526312312098,-0.6511016872631826,-0.7297705530587737
-0.9141257662450517,-0.7564599157561045,-0.7376497174313802,-0.8953114461440529
-0.9141257662450517,-0.66203905721343,-0.6510881124309282,-0.8953114461440529
-0.7093788629240262,-0.6620186522103596,-0.651067706203532,-0.6984307586151028
-0.6935839417773801,-0.6777849178762446,-0.6668349178737417,-0.6826348897447357
-0.6619605497789423,-0.6699014445045388,-0.6589509714794297,-0.6510096002858685
-0.7570139140089807,-0.6620608342469174,-0.65110988537093,-0.7223255391042201
-0.7569239140089806,-0.6619708342469174,-0.6510198853709299,-0.7380642880272199
-0.6619694637569835,-0.6619708342469174,-0.6510198853709299,-0.6510185147987748
-0.7173098518366795,-0.6619845260942376,-0.651033578039776,-0.7063622234013679
-0.7173998518366795,-0.662101838785326,-0.6511508923696606,-0.7064522234013679
-0.5350375925034758,-0.6619674075765716,-0.6510164584949698,-0.5161415961336615
-0.5984740997692989,-0.6618491775057473,-0.6508982279303305,-0.5161755310565602
-0.6618320039876842,-0.6776749178762447,-0.6667249178737418,-0.6508810533818449
-0.6618320039876842,-0.6776749178762447,-0.6667249178737418,-0.6508810533818449
-0.6698538047601531,-0.7569139140089807,-0.7380573770323793,-0.6589033294765678
-0.8757027457790836,-0.7568139140089807,-0.7379573770323793,-0.8568430394055312
-0.8916449720113074,-0.7490031032155624,-0.7301454053686272,-0.7460408018453392
-0.7570614274688057,-0.7411016062558632,-0.7222427474081301,-0.7381880575670231
-0.764785290401484,-0.7250744937314302,-0.7141273431889578,-0.7459127403324319
-0.6619282383139693,-0.6698675849008852,-0.6589171098441484,-0.6509772868821468
-0.8360315689851555,-0.6696575849008851,-0.6587071098441484,-0.8171677687272643
-0.654029827181288,-0.6698675849008852,-0.6589171098441484,-0.6430784018305686
-0.6695575849008852,-0.6616450592578429,-0.650694109435316,-0.6586071098441484
-0.6773749178762446,-0.7485722270677815,-0.729717955876928,-0.6664249178737417
-0.6773749178762446,-0.7643900793805107,-0.7376295856273112,-0.6664249178737417
-0.685291907381316,-0.6615539794209311,-0.6506030301336337,-0.6743423824124405
-0.7881214870634814,-0.6615608342469174,-0.6506098853709299,-0.7692671881844627
-0.6931739417773801,-0.6615772616191231,-0.6506263137287801,-0.6822248897447357
-0.6615731579764881,-0.6773749178762446,-0.6664249178737417,-0.6506222098399265
-0.6613072899963451,-0.6770749178762446,-0.6661249178737417,-0.6503563439077826
-0.6613072899963451,-0.6770749178762446,-0.6661249178737417,-0.6503563439077826
-0.6769749178762448,-0.6769749178762448,-0.6660249178737419,-0.6660249178737419
-0.6770749178762446,-0.6770749178762446,-0.6661249178737417,-0.6661249178737417
-0.6612072899963453,-0.6769749178762448,-0.6660249178737419,-0.6502563439077826
-0.6059991292007463,-0.6769749178762448,-0.6660249178737419,-0.5871547903534172
-0.6613072899963451,-0.6770749178762446,-0.6661249178737417,-0.6503563439077826
-0.6613072899963451,-0.6770749178762446,-0.6661249178737417,-0.6503563439077826
-0.6612072899963453,-0.6769749178762448,-0.6660249178737419,-0.6502563439077826
-0.6616072899963451,-0.6773749178762446,-0.6664249178737417,-0.6506563439077826
-0.6610072899963452,-0.6767749178762447,-0.6658249178737418,-0.6500563439077827
-0.6618072899963451,-0.6775749178762446,-0.6666249178737417,-0.6508563439077826
-0.6766749178762447,-0.6766749178762447,-0.6657249178737418,-0.6657249178737418
-0.6609127374407386,-0.6766749178762447,-0.6657249178737418,-0.6499617916790357
-0.6609072899963452,-0.6766749178762447,-0.6657249178737418,-0.6499563439077827
-0.6609072899963452,-0.6766749178762447,-0.6657249178737418,-0.6499563439077827
-0.6612072899963453,-0.6769749178762448,-0.6660249178737419,-0.6502563439077826
