SPREAD_COLOCAR_PLAZO_CERCANO,SPREAD_COLOCAR_PLAZO_LEJANO,SPREAD_TOMAR_PLAZO_CERCANO,SPREAD_TOMAR_PLAZO_LEJANO
-0.8902495146097766,-0.6779749178762446,-0.6670249178737417,-0.8108324664357058
-0.8834096553045,-0.7053467016075115,-0.6943983439612871,-0.803989627128607
-0.7189834608441242,-0.7052467016075115,-0.6942983439612871,-0.7080359274282017
-0.7189834608441242,-0.6984045254676027,-0.6874557572785253,-0.7080359274282017
-0.7189834608441242,-0.6984045254676027,-0.6874557572785253,-0.7080359274282017
-0.7258330841703156,-0.6778749178762447,-0.6669249178737418,-0.714885961744115
-0.6778749178762447,-0.6299509354492009,-0.6121513659283278,-0.6669249178737418
-1.158485029078192,-0.7258150865847118,-0.7148679630786303,-0.872913038733901
-0.6847482757566151,-0.8147800379678544,-0.7764720217645493,-0.6737986881679588
-0.7053652432633137,-0.7189680331840731,-0.7080204988424602,-0.6944168927298122
-0.7122365305823389,-0.6778749178762447,-0.6669249178737418,-0.7012885923384607
-0.7122352366520651,-0.6778749178762447,-0.6669249178737418,-0.7012872983305446
-0.6778749178762447,-0.6778749178762447,-0.6669249178737418,-0.6669249178737418
-0.822060376434185,-0.6779749178762446,-0.6670249178737417,-0.804257397821195
-0.6779749178762446,-0.684838452611709,-0.6738888644336437,-0.6670249178737417
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6780749178762447,-0.6780749178762447,-0.6671249178737418,-0.6671249178737418
-0.8154024256511998,-0.6780749178762447,-0.6671249178737418,-0.7220592169427696
-0.6780749178762447,-0.6780749178762447,-0.6671249178737418,-0.6671249178737418
-0.6780749178762447,-0.6780749178762447,-0.6671249178737418,-0.6671249178737418
-0.8152920925053899,-0.6779749178762446,-0.6670249178737417,-0.7356876248271146
-0.8152920925053899,-0.6779749178762446,-0.6670249178737417,-0.7356876248271146
-0.8152920925053899,-0.6779749178762446,-0.6670249178737417,-0.7356876248271146
-0.81539209250539,-0.6849356143079218,-0.673986025959558,-0.7357876248271147
-0.8289556471108397,-0.6779749178762446,-0.6670249178737417,-0.7493829842465398
-0.7122977550179104,-0.7464788687329054,-0.7218354817545742,-0.7013498144474164
-0.8494600946119576,-1.0886902781510939,-1.0162718215241942,-0.8042212907977113
-0.7122719532233589,-0.9516824920526831,-0.87239491984162,-0.7013240111047188
-0.7876800727197072,-0.6779749178762446,-0.6670249178737417,-0.769879671639598
-0.6778749178762447,-0.8149342682946676,-0.797144003327985,-0.6669249178737418
-0.8698652142561094,-0.6779749178762446,-0.6670249178737417,-0.7287076425625948
-0.7465560997936079,-0.6779749178762446,-0.6670249178737417,-0.7287516850943166
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.8149342682946676,-0.6778749178762447,-0.6669249178737418,-0.7354587049868078
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6778749178762447,-0.8833867704462065,-0.8587618914565953,-0.6669249178737418
-0.7464560997936079,-0.8833867704462065,-0.8519175156594359,-0.7286516850943167
-0.8150321273626313,-0.6778749178762447,-0.6669249178737418,-0.7423659094149446
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6847302022412834,-0.6778749178762447,-0.6669249178737418,-0.6737806135681876
-0.6915849715973663,-0.6778749178762447,-0.6669249178737418,-0.6806357942227786
-0.8149754550876629,-0.6778749178762447,-0.6669249178737418,-0.7491901759680045
-0.8150754550876629,-0.6779749178762446,-0.6670249178737417,-0.7492901759680045
-0.7807887348239183,-0.6779749178762446,-0.6670249178737417,-0.7629902381047214
-0.8150600071398231,-0.6779749178762446,-0.6670249178737417,-0.7698449038354955
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6849353563966725,-0.6780749178762447,-0.6671249178737418,-0.6739857680328288
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6779749178762446,-0.6779749178762446,-0.6670249178737417,-0.6670249178737417
-0.6780749178762447,-0.6780749178762447,-0.6671249178737418,-0.6671249178737418
